sample_key,gold_answer,reasoner_correct_qwen_nopc,final_correct_qwen_nopc,final_answer_qwen_nopc,reasoner_correct_qwen_wpc,final_correct_qwen_wpc,final_answer_qwen_wpc
LastHumanity_125,D,0,0,A,0,0,A
LastHumanity_129,A,1,1,A,1,1,A
LastHumanity_132,B,0,0,E,0,0,E
LastHumanity_27,D,0,0,B,0,0,B
LastHumanity_48,B,0,0,C,0,0,C
MMLU_1000,B,1,1,B,1,1,B
MMLU_1004,B,1,1,B,1,1,B
MMLU_1005,D,1,1,D,1,1,D
MMLU_1013,A,1,1,A,1,1,A
MMLU_1015,D,1,1,D,1,1,D
MMLU_1016,A,1,1,A,1,1,A
MMLU_1026,D,1,1,D,1,1,D
MMLU_1030,D,1,1,D,1,1,D
MMLU_1031,A,1,1,A,1,1,A
MMLU_1032,D,0,0,B,0,0,A
MMLU_1039,D,1,1,D,1,1,D
MMLU_1041,A,1,1,A,1,1,A
MMLU_1044,C,1,1,C,1,1,C
MMLU_1046,D,1,1,D,1,1,D
MMLU_1047,D,0,1,D,0,1,D
MMLU_1049,D,1,1,D,1,1,D
MMLU_1071,D,1,1,D,1,1,D
MMLU_1074,D,1,1,D,1,1,D
MMLU_1077,D,1,1,D,1,1,D
MMLU_1083,C,1,1,C,1,1,C
MMLU_1085,B,0,0,C,0,0,C
MMLU_168,B,1,1,B,1,1,B
MMLU_357,A,1,1,A,1,1,A
MMLU_823,B,1,1,B,1,1,B
MMLU_824,C,1,1,C,1,1,C
MMLU_827,D,1,1,D,1,1,D
MMLU_835,D,1,1,D,1,1,D
MMLU_837,D,1,1,D,1,1,D
MMLU_840,B,1,1,B,1,1,B
MMLU_851,B,1,1,B,1,1,B
MMLU_852,D,1,1,D,1,1,D
MMLU_856,C,1,1,C,1,1,C
MMLU_867,D,0,0,A,0,0,A
MMLU_870,D,1,1,D,1,1,D
MMLU_874,D,1,1,D,1,1,D
MMLU_877,B,1,1,B,1,1,B
MMLU_891,D,1,1,D,1,1,D
MMLU_897,D,1,1,D,1,1,D
MMLU_909,B,1,1,B,1,1,B
MMLU_912,D,1,1,D,1,1,D
MMLU_913,A,1,1,A,1,1,A
MMLU_917,B,1,1,B,1,1,B
MMLU_918,A,1,1,A,1,1,A
MMLU_928,C,1,1,C,1,1,C
MMLU_929,D,1,1,D,1,1,D
MMLU_936,C,1,1,C,1,1,C
MMLU_937,C,1,1,C,1,1,C
MMLU_939,C,1,1,C,1,1,C
MMLU_945,A,1,1,A,1,1,A
MMLU_953,D,1,1,D,1,1,D
MMLU_955,D,1,1,D,1,1,D
MMLU_962,D,1,1,D,1,1,D
MMLU_967,D,1,1,D,1,1,D
MMLU_985,D,1,1,D,1,1,D
MMLU_987,B,1,1,B,1,1,B
MMLU_999,D,1,1,D,1,1,D
MedXpertQA_100,F,1,1,F,1,1,F
MedXpertQA_102,G,0,0,D,0,0,D
MedXpertQA_106,D,1,1,D,1,1,D
MedXpertQA_114,J,1,1,J,1,1,J
MedXpertQA_121,A,0,0,G,0,0,H
MedXpertQA_138,G,0,0,H,0,0,H
MedXpertQA_14,D,1,0,A,1,0,H
MedXpertQA_140,G,0,0,A,0,1,G
MedXpertQA_143,A,0,1,A,0,1,A
MedXpertQA_144,I,0,0,A,0,0,A
MedXpertQA_153,D,1,1,D,1,1,D
MedXpertQA_161,J,0,0,B,0,0,B
MedXpertQA_162,B,1,1,B,1,1,B
MedXpertQA_167,H,0,0,D,0,0,D
MedXpertQA_175,J,0,0,A,0,0,A
MedXpertQA_181,B,0,0,C,0,0,C
MedXpertQA_187,G,0,0,J,0,0,J
MedXpertQA_194,F,0,0,E,0,0,J
MedXpertQA_198,J,0,0,F,0,0,F
MedXpertQA_202,A,1,1,A,1,1,A
MedXpertQA_208,C,0,0,B,0,1,C
MedXpertQA_21,E,1,1,E,1,1,E
MedXpertQA_210,B,0,0,G,0,0,F
MedXpertQA_214,B,0,0,E,0,0,E
MedXpertQA_217,A,0,0,C,0,0,C
MedXpertQA_221,I,0,0,G,0,0,G
MedXpertQA_227,G,0,0,H,0,1,G
MedXpertQA_23,C,1,1,C,1,1,C
MedXpertQA_243,H,1,1,H,1,1,H
MedXpertQA_248,B,0,0,A,0,0,A
MedXpertQA_256,D,1,1,D,1,1,D
MedXpertQA_260,I,1,1,I,1,1,I
MedXpertQA_269,C,1,1,C,1,1,C
MedXpertQA_270,G,1,1,G,1,1,G
MedXpertQA_274,J,0,0,F,0,0,F
MedXpertQA_276,F,0,0,J,0,0,J
MedXpertQA_288,A,1,1,A,1,1,A
MedXpertQA_290,B,0,0,D,0,0,D
MedXpertQA_292,C,1,1,C,1,1,C
MedXpertQA_293,F,0,0,H,0,0,H
MedXpertQA_3,I,0,1,I,0,1,I
MedXpertQA_301,I,0,0,E,0,0,E
MedXpertQA_305,J,0,0,E,0,0,E
MedXpertQA_306,E,0,1,E,0,1,E
MedXpertQA_307,E,0,1,E,0,1,E
MedXpertQA_311,E,0,0,I,0,0,I
MedXpertQA_314,B,0,1,B,0,1,B
MedXpertQA_315,F,0,0,J,0,0,J
MedXpertQA_318,D,0,0,C,0,1,D
MedXpertQA_32,F,0,0,C,0,0,C
MedXpertQA_327,D,0,1,D,0,0,H
MedXpertQA_332,I,1,1,I,1,1,I
MedXpertQA_334,H,0,0,E,0,1,H
MedXpertQA_338,D,0,0,A,0,0,A
MedXpertQA_347,D,1,1,D,1,1,D
MedXpertQA_354,G,1,1,G,1,1,G
MedXpertQA_360,A,0,0,F,0,0,F
MedXpertQA_366,F,0,0,I,0,0,I
MedXpertQA_375,E,0,0,G,0,0,G
MedXpertQA_383,I,0,0,B,0,0,B
MedXpertQA_389,D,1,1,D,1,1,D
MedXpertQA_392,I,0,0,F,0,0,F
MedXpertQA_394,J,0,1,J,0,1,J
MedXpertQA_402,J,0,0,A,0,0,A
MedXpertQA_405,B,0,0,F,0,0,H
MedXpertQA_407,J,1,1,J,1,1,J
MedXpertQA_411,B,1,1,B,1,1,B
MedXpertQA_414,C,0,0,H,0,0,H
MedXpertQA_427,B,0,0,A,0,0,A
MedXpertQA_428,D,0,1,D,0,1,D
MedXpertQA_430,D,0,0,H,0,0,F
MedXpertQA_433,H,1,1,H,1,1,H
MedXpertQA_442,E,0,0,I,0,0,I
MedXpertQA_444,A,1,1,A,1,1,A
MedXpertQA_446,J,0,0,I,0,0,I
MedXpertQA_449,H,0,0,G,0,0,G
MedXpertQA_460,A,1,1,A,1,1,A
MedXpertQA_466,G,0,0,I,0,0,I
MedXpertQA_471,I,0,0,J,0,0,J
MedXpertQA_475,G,1,1,G,1,1,G
MedXpertQA_481,E,0,0,A,0,0,B
MedXpertQA_482,C,0,0,A,0,0,A
MedXpertQA_483,H,1,1,H,1,1,H
MedXpertQA_484,A,0,0,C,0,0,C
MedXpertQA_492,E,1,1,E,1,1,E
MedXpertQA_493,G,0,0,I,0,0,I
MedXpertQA_495,F,0,0,E,0,0,E
MedXpertQA_496,I,1,1,I,1,1,I
MedXpertQA_502,J,1,1,J,1,1,J
MedXpertQA_503,G,0,0,F,0,0,F
MedXpertQA_518,C,0,0,H,0,0,H
MedXpertQA_521,J,0,0,A,0,0,A
MedXpertQA_527,A,1,1,A,1,1,A
MedXpertQA_53,E,0,0,B,0,0,B
MedXpertQA_533,J,0,1,J,0,1,J
MedXpertQA_535,B,1,1,B,1,1,B
MedXpertQA_536,B,0,0,C,0,0,C
MedXpertQA_538,F,0,1,F,0,1,F
MedXpertQA_539,I,0,0,F,0,1,I
MedXpertQA_542,B,0,0,A,0,1,B
MedXpertQA_544,F,0,1,F,0,0,C
MedXpertQA_549,A,0,0,G,0,0,G
MedXpertQA_55,J,0,0,C,0,0,C
MedXpertQA_550,A,0,0,G,0,0,I
MedXpertQA_555,I,0,1,I,0,0,E
MedXpertQA_563,B,0,0,F,0,0,F
MedXpertQA_568,E,0,0,D,0,0,D
MedXpertQA_570,E,0,0,A,0,0,D
MedXpertQA_576,C,1,1,C,1,1,C
MedXpertQA_577,F,0,0,G,0,0,G
MedXpertQA_581,E,1,1,E,1,1,E
MedXpertQA_583,H,0,0,G,0,0,G
MedXpertQA_585,B,0,0,G,0,0,G
MedXpertQA_587,F,1,1,F,1,1,F
MedXpertQA_594,E,1,1,E,1,1,E
MedXpertQA_598,J,0,1,J,0,1,J
MedXpertQA_60,J,0,0,E,0,0,E
MedXpertQA_601,H,0,0,D,0,1,H
MedXpertQA_604,J,0,0,E,0,0,E
MedXpertQA_614,E,0,0,D,0,0,F
MedXpertQA_62,A,0,0,J,0,1,A
MedXpertQA_620,B,0,0,A,0,0,A
MedXpertQA_623,I,0,0,A,0,0,A
MedXpertQA_626,I,0,0,D,0,0,D
MedXpertQA_635,I,0,0,E,0,0,E
MedXpertQA_638,B,0,1,B,0,0,H
MedXpertQA_640,G,0,0,H,0,0,H
MedXpertQA_642,G,0,0,D,0,0,D
MedXpertQA_643,G,0,1,G,0,1,G
MedXpertQA_646,A,0,0,I,0,0,I
MedXpertQA_649,I,0,1,I,0,0,J
MedXpertQA_661,B,0,0,G,0,0,G
MedXpertQA_666,E,0,0,A,0,0,A
MedXpertQA_668,A,0,0,J,0,0,E
MedXpertQA_67,A,1,1,A,1,1,A
MedXpertQA_672,C,0,0,A,0,0,A
MedXpertQA_68,A,0,0,H,0,0,H
MedXpertQA_681,F,0,0,C,0,0,C
MedXpertQA_685,H,1,1,H,1,1,H
MedXpertQA_690,E,1,0,G,1,1,E
MedXpertQA_704,G,0,1,G,0,1,G
MedXpertQA_709,B,1,1,B,1,1,B
MedXpertQA_71,G,0,0,A,0,0,B
MedXpertQA_710,E,0,0,H,0,0,H
MedXpertQA_717,G,0,1,G,0,1,G
MedXpertQA_727,G,0,0,D,0,0,D
MedXpertQA_730,B,0,0,G,0,0,G
MedXpertQA_733,A,1,1,A,1,1,A
MedXpertQA_750,J,0,0,F,0,0,F
MedXpertQA_753,A,0,0,E,0,0,E
MedXpertQA_754,C,1,1,C,1,1,C
MedXpertQA_756,G,0,1,G,0,1,G
MedXpertQA_760,E,0,0,D,0,0,D
MedXpertQA_761,I,0,1,I,0,0,J
MedXpertQA_762,D,0,0,J,0,0,J
MedXpertQA_763,E,0,0,C,0,0,C
MedXpertQA_769,F,0,0,C,0,0,C
MedXpertQA_771,D,1,1,D,1,1,D
MedXpertQA_773,D,1,1,D,1,1,D
MedXpertQA_781,C,0,0,H,0,0,H
MedXpertQA_782,E,0,0,D,0,0,D
MedXpertQA_783,I,1,1,I,1,1,I
MedXpertQA_793,E,0,0,D,0,0,D
MedXpertQA_795,H,0,0,I,0,0,I
MedXpertQA_806,E,0,0,C,0,0,C
MedXpertQA_811,C,1,1,C,1,1,C
MedXpertQA_823,F,1,1,F,1,1,F
MedXpertQA_826,B,1,1,B,1,1,B
MedXpertQA_829,C,0,0,J,0,0,J
MedXpertQA_849,F,0,0,D,0,0,D
MedXpertQA_85,J,0,0,A,0,0,A
MedXpertQA_86,A,0,0,H,0,0,H
MedXpertQA_862,A,1,1,A,1,1,A
MedXpertQA_864,J,0,0,D,0,0,D
MedXpertQA_865,D,0,0,H,0,1,D
MedXpertQA_872,H,0,0,J,0,0,J
MedXpertQA_876,B,0,0,H,0,0,H
MedXpertQA_878,D,1,1,D,1,1,D
MedXpertQA_883,E,1,1,E,1,1,E
MedXpertQA_884,I,1,1,I,1,1,I
MedXpertQA_885,C,0,0,J,0,0,J
MedXpertQA_886,H,0,0,A,0,0,A
MedXpertQA_887,H,0,0,D,0,0,D
MedXpertQA_888,D,0,0,A,0,0,A
MedXpertQA_891,C,1,1,C,1,1,C
MedXpertQA_894,B,1,1,B,1,1,B
MedXpertQA_9,B,0,0,E,0,0,E
MedXpertQA_908,J,0,1,J,0,0,A
MedXpertQA_911,E,0,1,E,0,0,G
MedXpertQA_917,B,0,1,B,0,0,F
MedXpertQA_922,A,0,1,A,0,1,A
MedXpertQA_924,F,0,0,B,0,0,B
MedXpertQA_934,A,0,0,B,0,0,B
MedXpertQA_937,J,0,0,E,0,0,E
MedXpertQA_951,C,0,0,E,0,0,E
MedXpertQA_960,E,1,1,E,1,1,E
MedXpertQA_961,F,1,1,F,1,1,F
MedXpertQA_97,B,1,1,B,1,1,B
MedXpertQA_978,E,1,1,E,1,1,E
MedXpertQA_982,B,1,1,B,1,1,B
MedXpertQA_984,J,0,1,J,0,1,J
MedXpertQA_985,E,0,1,E,0,1,E
MedXpertQA_987,B,0,0,F,0,0,F
MedXpertQA_99,F,1,1,F,1,1,F
MedXpertQA_991,C,0,1,C,0,0,D
huatuo_1000,D,1,1,D,1,1,D
huatuo_1030,B,0,0,A,0,0,A
huatuo_1065,B,1,1,B,1,1,B
huatuo_1131,D,1,1,D,1,1,D
huatuo_1191,A,1,1,A,1,1,A
huatuo_1254,B,1,1,B,1,1,B
huatuo_1312,D,1,1,D,1,1,D
huatuo_1345,A,1,1,A,1,1,A
huatuo_1417,E,1,1,E,1,1,E
huatuo_1423,A,1,1,A,1,1,A
huatuo_1477,E,0,0,D,0,0,D
huatuo_1485,A,1,1,A,1,1,A
huatuo_1543,A,1,1,A,1,1,A
huatuo_1559,D,0,0,B,0,0,B
huatuo_1565,B,1,1,B,1,1,B
huatuo_1584,D,1,1,D,1,1,D
huatuo_1652,A,0,0,B,0,1,A
huatuo_1689,C,0,0,A,0,0,A
huatuo_1715,E,0,1,E,0,1,E
huatuo_1727,A,1,1,A,1,1,A
huatuo_1734,B,1,1,B,1,1,B
huatuo_1770,A,1,1,A,1,1,A
huatuo_1816,C,1,1,C,1,1,C
huatuo_1833,D,1,1,D,1,1,D
huatuo_1889,C,1,1,C,1,1,C
huatuo_4084,E,0,0,D,0,0,D
huatuo_4112,H,0,0,B,0,0,B
huatuo_4133,A,1,1,A,1,1,A
huatuo_4166,C,1,1,C,1,1,C
huatuo_4384,B,1,1,B,1,1,B
huatuo_4458,D,1,1,D,1,1,D
huatuo_4463,E,0,0,A,0,0,A
huatuo_4479,E,0,0,B,0,0,B
huatuo_4483,D,1,1,D,1,1,D
huatuo_4533,C,0,1,C,0,1,C
huatuo_4553,D,1,1,D,1,1,D
huatuo_4555,C,1,1,C,1,1,C
huatuo_4602,D,1,1,D,1,1,D
huatuo_4616,A,1,1,A,1,1,A
huatuo_4656,A,1,1,A,1,1,A
huatuo_4684,E,0,0,A,0,0,A
huatuo_4739,D,1,1,D,1,1,D
huatuo_4824,A,1,1,A,1,1,A
huatuo_4828,E,0,0,A,0,0,A
huatuo_4835,C,1,1,C,1,1,C
huatuo_4984,B,1,1,B,1,1,B
huatuo_5014,D,1,1,D,1,1,D
huatuo_5078,A,1,1,A,1,1,A
huatuo_5207,D,1,1,D,1,1,D
huatuo_5301,C,1,1,C,1,1,C
huatuo_5310,C,1,1,C,1,1,C
huatuo_5313,A,1,1,A,1,1,A
huatuo_5441,D,1,1,D,1,1,D
huatuo_5443,B,1,1,B,1,1,B
huatuo_5458,D,0,0,A,0,0,A
huatuo_5467,B,1,1,B,1,1,B
huatuo_5475,A,1,1,A,1,1,A
huatuo_5505,A,1,1,A,1,1,A
huatuo_5558,A,0,0,B,0,0,B
huatuo_5568,E,0,0,A,0,0,A
huatuo_5646,E,1,1,E,1,1,E
huatuo_5703,B,0,0,A,0,0,A
huatuo_5719,A,1,1,A,1,1,A
huatuo_5789,C,0,0,B,0,0,B
huatuo_5863,A,1,1,A,1,1,A
huatuo_5866,A,1,1,A,1,1,A
huatuo_5973,C,1,1,C,1,1,C
huatuo_6001,B,1,1,B,1,1,B
huatuo_7141,A,1,1,A,1,1,A
huatuo_7185,E,0,0,A,0,0,A
huatuo_7189,C,1,1,C,1,1,C
huatuo_7306,C,1,1,C,1,1,C
huatuo_7316,A,1,1,A,1,1,A
huatuo_7322,B,0,0,A,0,1,B
huatuo_7374,B,1,1,B,1,1,B
huatuo_7376,A,1,1,A,1,1,A
huatuo_7380,B,1,1,B,1,1,B
huatuo_7386,D,0,0,C,0,0,C
huatuo_7410,D,1,1,D,1,1,D
huatuo_7497,A,1,1,A,1,1,A
huatuo_7517,D,1,1,D,1,1,D
huatuo_7551,A,1,1,A,1,1,A
huatuo_7560,D,0,1,D,0,0,C
huatuo_7592,A,0,1,A,0,0,B
huatuo_7619,C,0,0,A,0,0,A
huatuo_7648,A,1,1,A,1,1,A
huatuo_7684,E,0,0,A,0,0,A
huatuo_7724,B,1,1,B,1,1,B
huatuo_7747,B,1,1,B,1,1,B
huatuo_7834,A,1,1,A,1,1,A
huatuo_7845,B,1,1,B,1,1,B
huatuo_7861,C,1,1,C,1,1,C
huatuo_7867,A,1,1,A,1,1,A
huatuo_7878,B,0,1,B,0,1,B
huatuo_7996,E,1,1,E,1,1,E
huatuo_8070,D,1,1,D,1,1,D
huatuo_8092,D,1,1,D,1,1,D
huatuo_8154,C,0,0,A,0,0,A
huatuo_8196,D,1,1,D,1,1,D
huatuo_8234,A,1,1,A,1,1,A
huatuo_8239,B,0,1,B,0,1,B
huatuo_8294,C,1,1,C,1,1,C
huatuo_8335,C,0,0,B,0,0,B
huatuo_8337,A,1,1,A,1,1,A
huatuo_8397,D,1,1,D,1,1,D
huatuo_8421,A,1,1,A,1,1,A
huatuo_8489,B,1,1,B,1,1,B
huatuo_8505,A,1,1,A,1,1,A
huatuo_8651,A,1,1,A,1,1,A
huatuo_8749,B,1,1,B,1,1,B
huatuo_8759,A,1,1,A,1,1,A
huatuo_8785,C,1,0,A,1,1,C
huatuo_8795,B,0,0,A,0,0,A
huatuo_8837,A,1,1,A,1,1,A
huatuo_8920,B,0,0,C,0,0,C
huatuo_8978,A,1,1,A,1,1,A
huatuo_8993,B,1,1,B,1,1,B
huatuo_9008,E,0,0,B,0,0,B
huatuo_9015,A,1,1,A,1,1,A
huatuo_9105,A,1,1,A,1,1,A
huatuo_9112,C,1,1,C,1,1,C
huatuo_9142,B,1,1,B,1,1,B
huatuo_9153,C,1,1,C,1,1,C
huatuo_9245,C,1,1,C,1,1,C
huatuo_9268,D,1,1,D,1,1,D
medmcqa_1012,C,1,1,C,1,1,C
medmcqa_1076,B,1,1,B,1,1,B
medmcqa_1129,A,1,1,A,1,1,A
medmcqa_1173,B,1,1,B,1,1,B
medmcqa_1292,B,1,1,B,1,1,B
medmcqa_1314,D,1,1,D,1,1,D
medmcqa_1399,B,1,1,B,1,1,B
medmcqa_1510,A,0,0,B,0,0,B
medmcqa_1596,B,0,0,D,0,0,D
medmcqa_1613,B,1,1,B,1,1,B
medmcqa_1674,A,1,1,A,1,1,A
medmcqa_1811,B,1,1,B,1,1,B
medmcqa_182,D,1,1,D,1,1,D
medmcqa_1836,D,1,1,D,1,1,D
medmcqa_191,B,1,1,B,1,1,B
medmcqa_1912,B,1,1,B,1,1,B
medmcqa_1971,A,1,1,A,1,1,A
medmcqa_2000,B,1,1,B,1,1,B
medmcqa_2026,A,1,1,A,1,1,A
medmcqa_2068,B,1,1,B,1,1,B
medmcqa_2145,C,1,1,C,1,1,C
medmcqa_2164,D,0,0,B,0,0,B
medmcqa_2193,B,1,1,B,1,1,B
medmcqa_2392,D,1,1,D,1,1,D
medmcqa_2400,B,1,1,B,1,1,B
medmcqa_2445,A,1,1,A,1,1,A
medmcqa_2524,B,1,1,B,1,1,B
medmcqa_2569,A,1,1,A,1,1,A
medmcqa_2575,C,1,0,A,1,1,C
medmcqa_2597,C,0,0,A,0,0,A
medmcqa_263,B,1,1,B,1,1,B
medmcqa_2676,C,1,1,C,1,1,C
medmcqa_2711,B,0,0,C,0,0,C
medmcqa_2724,D,1,1,D,1,1,D
medmcqa_2815,B,1,1,B,1,1,B
medmcqa_2820,A,0,0,C,0,0,D
medmcqa_2913,A,1,1,A,1,1,A
medmcqa_2933,C,1,1,C,1,1,C
medmcqa_3078,D,1,1,D,1,1,D
medmcqa_3140,B,1,1,B,1,1,B
medmcqa_3142,A,1,1,A,1,1,A
medmcqa_3204,D,1,1,D,1,1,D
medmcqa_3271,C,1,1,C,1,1,C
medmcqa_3277,C,1,1,C,1,1,C
medmcqa_3353,A,1,1,A,1,1,A
medmcqa_3459,A,0,1,A,0,1,A
medmcqa_3550,A,1,1,A,1,1,A
medmcqa_409,D,0,0,A,0,0,A
medmcqa_415,A,1,1,A,1,1,A
medmcqa_6576,B,1,1,B,1,1,B
medmcqa_6726,A,1,1,A,1,1,A
medmcqa_6730,A,1,1,A,1,0,B
medmcqa_6790,B,1,1,B,1,1,B
medmcqa_682,D,1,1,D,1,1,D
medmcqa_6916,A,0,0,B,0,0,B
medmcqa_6945,A,1,1,A,1,1,A
medmcqa_782,B,0,0,D,0,0,D
medmcqa_884,A,1,1,A,1,1,A
medmcqa_924,A,1,1,A,1,1,A
medmcqa_989,C,1,1,C,1,1,C
medqa_101,C,1,1,C,1,1,C
medqa_102,D,1,1,D,1,1,D
medqa_106,A,1,1,A,1,1,A
medqa_112,A,1,1,A,1,1,A
medqa_115,A,1,1,A,1,1,A
medqa_119,D,1,1,D,1,1,D
medqa_126,D,1,1,D,1,1,D
medqa_131,B,1,1,B,1,1,B
medqa_138,A,1,1,A,1,1,A
medqa_141,B,1,1,B,1,1,B
medqa_142,B,0,0,A,0,1,B
medqa_152,A,1,1,A,1,1,A
medqa_154,D,1,1,D,1,1,D
medqa_158,D,0,1,D,0,0,A
medqa_159,A,1,1,A,1,1,A
medqa_16,D,1,1,D,1,1,D
medqa_160,A,1,1,A,1,1,A
medqa_163,C,0,0,B,0,1,C
medqa_164,A,1,1,A,1,1,A
medqa_17,C,1,1,C,1,1,C
medqa_171,B,1,1,B,1,1,B
medqa_174,D,1,1,D,1,1,D
medqa_181,A,1,1,A,1,1,A
medqa_193,A,1,1,A,1,1,A
medqa_195,B,1,1,B,1,1,B
medqa_199,D,1,1,D,1,1,D
medqa_200,C,1,1,C,1,1,C
medqa_207,C,0,0,B,0,0,B
medqa_210,D,1,1,D,1,1,D
medqa_213,A,1,1,A,1,1,A
medqa_220,A,1,1,A,1,1,A
medqa_222,A,1,1,A,1,1,A
medqa_223,B,1,1,B,1,1,B
medqa_233,D,1,1,D,1,1,D
medqa_25,B,1,1,B,1,1,B
