sample_key,gold_answer,final_correct_qwen_nopc,final_correct_qwen_wpc
LastHumanity_125,D,0,0
LastHumanity_129,A,1,1
LastHumanity_132,B,0,0
LastHumanity_27,D,0,0
LastHumanity_48,B,0,0
MMLU_1000,B,1,1
MMLU_1004,B,1,1
MMLU_1005,D,1,1
MMLU_1013,A,1,1
MMLU_1015,D,1,1
MMLU_1016,A,1,1
MMLU_1026,D,1,1
MMLU_1030,D,1,1
MMLU_1031,A,1,1
MMLU_1032,D,0,0
MMLU_1039,D,1,1
MMLU_1041,A,1,1
MMLU_1044,C,1,1
MMLU_1046,D,1,1
MMLU_1049,D,1,1
MMLU_1071,D,1,1
MMLU_1074,D,1,1
MMLU_1077,D,1,1
MMLU_1083,C,1,1
MMLU_1085,B,0,0
MMLU_168,B,1,1
MMLU_357,A,1,1
MMLU_823,B,1,1
MMLU_824,C,1,1
MMLU_827,D,1,1
MMLU_835,D,1,1
MMLU_837,D,1,1
MMLU_840,B,1,1
MMLU_851,B,1,1
MMLU_852,D,1,1
MMLU_856,C,1,1
MMLU_867,D,0,0
MMLU_870,D,1,1
MMLU_874,D,1,1
MMLU_877,B,1,1
MMLU_891,D,1,1
MMLU_897,D,1,1
MMLU_909,B,1,1
MMLU_912,D,1,1
MMLU_913,A,1,1
MMLU_917,B,1,1
MMLU_918,A,1,1
MMLU_928,C,1,1
MMLU_929,D,1,1
MMLU_936,C,1,1
MMLU_937,C,1,1
MMLU_939,C,1,1
MMLU_945,A,1,1
MMLU_953,D,1,1
MMLU_955,D,1,1
MMLU_962,D,1,1
MMLU_967,D,1,1
MMLU_985,D,1,1
MMLU_987,B,1,1
MMLU_999,D,1,1
MedXpertQA_100,F,1,1
MedXpertQA_102,G,0,0
MedXpertQA_106,D,1,1
MedXpertQA_114,J,1,1
MedXpertQA_121,A,0,0
MedXpertQA_138,G,0,0
MedXpertQA_14,D,0,0
MedXpertQA_140,G,0,1
MedXpertQA_143,A,1,1
MedXpertQA_144,I,0,0
MedXpertQA_153,D,1,1
MedXpertQA_161,J,0,0
MedXpertQA_162,B,1,1
MedXpertQA_167,H,0,0
MedXpertQA_175,J,0,0
MedXpertQA_181,B,0,0
MedXpertQA_187,G,0,0
MedXpertQA_194,F,0,0
MedXpertQA_198,J,0,0
MedXpertQA_202,A,1,1
MedXpertQA_208,C,0,1
MedXpertQA_21,E,1,1
MedXpertQA_210,B,0,0
MedXpertQA_214,B,0,0
MedXpertQA_217,A,0,0
MedXpertQA_221,I,0,0
MedXpertQA_227,G,0,1
MedXpertQA_23,C,1,1
MedXpertQA_243,H,1,1
MedXpertQA_248,B,0,0
MedXpertQA_256,D,1,1
MedXpertQA_260,I,1,1
MedXpertQA_269,C,1,1
MedXpertQA_270,G,1,1
MedXpertQA_274,J,0,0
MedXpertQA_276,F,0,0
MedXpertQA_288,A,1,1
MedXpertQA_290,B,0,0
MedXpertQA_292,C,1,1
MedXpertQA_293,F,0,0
MedXpertQA_3,I,1,1
MedXpertQA_301,I,0,0
MedXpertQA_305,J,0,0
MedXpertQA_307,E,1,1
MedXpertQA_311,E,0,0
MedXpertQA_314,B,1,1
MedXpertQA_315,F,0,0
MedXpertQA_318,D,0,1
MedXpertQA_32,F,0,0
MedXpertQA_332,I,1,1
MedXpertQA_338,D,0,0
MedXpertQA_347,D,1,1
MedXpertQA_354,G,1,1
MedXpertQA_360,A,0,0
MedXpertQA_366,F,0,0
MedXpertQA_375,E,0,0
MedXpertQA_383,I,0,0
MedXpertQA_389,D,1,1
MedXpertQA_392,I,0,0
MedXpertQA_402,J,0,0
MedXpertQA_405,B,0,0
MedXpertQA_407,J,1,1
MedXpertQA_411,B,1,1
MedXpertQA_414,C,0,0
MedXpertQA_427,B,0,0
MedXpertQA_430,D,0,0
MedXpertQA_433,H,1,1
MedXpertQA_442,E,0,0
MedXpertQA_444,A,1,1
MedXpertQA_446,J,0,0
MedXpertQA_449,H,0,0
MedXpertQA_460,A,1,1
MedXpertQA_466,G,0,0
MedXpertQA_471,I,0,0
MedXpertQA_475,G,1,1
MedXpertQA_481,E,0,0
MedXpertQA_482,C,0,0
MedXpertQA_483,H,1,1
MedXpertQA_484,A,0,0
MedXpertQA_492,E,1,1
MedXpertQA_493,G,0,0
MedXpertQA_495,F,0,0
MedXpertQA_496,I,1,1
MedXpertQA_502,J,1,1
MedXpertQA_503,G,0,0
MedXpertQA_518,C,0,0
MedXpertQA_521,J,0,0
MedXpertQA_527,A,1,1
MedXpertQA_53,E,0,0
MedXpertQA_535,B,1,1
MedXpertQA_536,B,0,0
MedXpertQA_538,F,1,1
MedXpertQA_539,I,0,1
MedXpertQA_542,B,0,1
MedXpertQA_544,F,1,0
MedXpertQA_549,A,0,0
MedXpertQA_55,J,0,0
MedXpertQA_550,A,0,0
MedXpertQA_563,B,0,0
MedXpertQA_568,E,0,0
MedXpertQA_570,E,0,0
MedXpertQA_576,C,1,1
MedXpertQA_577,F,0,0
MedXpertQA_581,E,1,1
MedXpertQA_583,H,0,0
MedXpertQA_585,B,0,0
MedXpertQA_587,F,1,1
MedXpertQA_594,E,1,1
MedXpertQA_60,J,0,0
MedXpertQA_601,H,0,1
MedXpertQA_604,J,0,0
MedXpertQA_614,E,0,0
MedXpertQA_620,B,0,0
MedXpertQA_623,I,0,0
MedXpertQA_626,I,0,0
MedXpertQA_635,I,0,0
MedXpertQA_640,G,0,0
MedXpertQA_642,G,0,0
MedXpertQA_646,A,0,0
MedXpertQA_649,I,1,0
MedXpertQA_661,B,0,0
MedXpertQA_666,E,0,0
MedXpertQA_668,A,0,0
MedXpertQA_67,A,1,1
MedXpertQA_672,C,0,0
MedXpertQA_68,A,0,0
MedXpertQA_681,F,0,0
MedXpertQA_685,H,1,1
MedXpertQA_690,E,0,1
MedXpertQA_709,B,1,1
MedXpertQA_71,G,0,0
MedXpertQA_710,E,0,0
MedXpertQA_717,G,1,1
MedXpertQA_727,G,0,0
MedXpertQA_730,B,0,0
MedXpertQA_733,A,1,1
MedXpertQA_750,J,0,0
MedXpertQA_753,A,0,0
MedXpertQA_754,C,1,1
MedXpertQA_760,E,0,0
MedXpertQA_761,I,1,0
MedXpertQA_762,D,0,0
MedXpertQA_763,E,0,0
MedXpertQA_769,F,0,0
MedXpertQA_771,D,1,1
MedXpertQA_773,D,1,1
MedXpertQA_781,C,0,0
MedXpertQA_782,E,0,0
MedXpertQA_783,I,1,1
MedXpertQA_793,E,0,0
MedXpertQA_795,H,0,0
MedXpertQA_806,E,0,0
MedXpertQA_811,C,1,1
MedXpertQA_823,F,1,1
MedXpertQA_826,B,1,1
MedXpertQA_829,C,0,0
MedXpertQA_849,F,0,0
MedXpertQA_85,J,0,0
MedXpertQA_86,A,0,0
MedXpertQA_862,A,1,1
MedXpertQA_864,J,0,0
MedXpertQA_865,D,0,1
MedXpertQA_872,H,0,0
MedXpertQA_876,B,0,0
MedXpertQA_878,D,1,1
MedXpertQA_883,E,1,1
MedXpertQA_884,I,1,1
MedXpertQA_885,C,0,0
MedXpertQA_886,H,0,0
MedXpertQA_887,H,0,0
MedXpertQA_888,D,0,0
MedXpertQA_891,C,1,1
MedXpertQA_894,B,1,1
MedXpertQA_9,B,0,0
MedXpertQA_908,J,1,0
MedXpertQA_911,E,1,0
MedXpertQA_924,F,0,0
MedXpertQA_934,A,0,0
MedXpertQA_937,J,0,0
MedXpertQA_951,C,0,0
MedXpertQA_960,E,1,1
MedXpertQA_961,F,1,1
MedXpertQA_97,B,1,1
MedXpertQA_978,E,1,1
MedXpertQA_982,B,1,1
MedXpertQA_984,J,1,1
MedXpertQA_987,B,0,0
MedXpertQA_99,F,1,1
huatuo_1000,D,1,1
huatuo_1030,B,0,0
huatuo_1065,B,1,1
huatuo_1131,D,1,1
huatuo_1191,A,1,1
huatuo_1254,B,1,1
huatuo_1312,D,1,1
huatuo_1345,A,1,1
huatuo_1417,E,1,1
huatuo_1423,A,1,1
huatuo_1477,E,0,0
huatuo_1485,A,1,1
huatuo_1543,A,1,1
huatuo_1559,D,0,0
huatuo_1565,B,1,1
huatuo_1584,D,1,1
huatuo_1652,A,0,1
huatuo_1689,C,0,0
huatuo_1727,A,1,1
huatuo_1734,B,1,1
huatuo_1770,A,1,1
huatuo_1816,C,1,1
huatuo_1833,D,1,1
huatuo_1889,C,1,1
huatuo_4084,E,0,0
huatuo_4112,H,0,0
huatuo_4133,A,1,1
huatuo_4166,C,1,1
huatuo_4384,B,1,1
huatuo_4458,D,1,1
huatuo_4463,E,0,0
huatuo_4479,E,0,0
huatuo_4483,D,1,1
huatuo_4533,C,1,1
huatuo_4553,D,1,1
huatuo_4555,C,1,1
huatuo_4602,D,1,1
huatuo_4616,A,1,1
huatuo_4656,A,1,1
huatuo_4684,E,0,0
huatuo_4739,D,1,1
huatuo_4824,A,1,1
huatuo_4828,E,0,0
huatuo_4835,C,1,1
huatuo_4984,B,1,1
huatuo_5014,D,1,1
huatuo_5078,A,1,1
huatuo_5207,D,1,1
huatuo_5301,C,1,1
huatuo_5310,C,1,1
huatuo_5313,A,1,1
huatuo_5441,D,1,1
huatuo_5443,B,1,1
huatuo_5458,D,0,0
huatuo_5467,B,1,1
huatuo_5475,A,1,1
huatuo_5505,A,1,1
huatuo_5558,A,0,0
huatuo_5568,E,0,0
huatuo_5646,E,1,1
huatuo_5703,B,0,0
huatuo_5719,A,1,1
huatuo_5789,C,0,0
huatuo_5863,A,1,1
huatuo_5866,A,1,1
huatuo_5973,C,1,1
huatuo_6001,B,1,1
huatuo_7141,A,1,1
huatuo_7185,E,0,0
huatuo_7189,C,1,1
huatuo_7306,C,1,1
huatuo_7316,A,1,1
huatuo_7374,B,1,1
huatuo_7376,A,1,1
huatuo_7380,B,1,1
huatuo_7386,D,0,0
huatuo_7410,D,1,1
huatuo_7497,A,1,1
huatuo_7517,D,1,1
huatuo_7551,A,1,1
huatuo_7592,A,1,0
huatuo_7619,C,0,0
huatuo_7648,A,1,1
huatuo_7684,E,0,0
huatuo_7724,B,1,1
huatuo_7747,B,1,1
huatuo_7834,A,1,1
huatuo_7845,B,1,1
huatuo_7861,C,1,1
huatuo_7867,A,1,1
huatuo_7996,E,1,1
huatuo_8070,D,1,1
huatuo_8092,D,1,1
huatuo_8154,C,0,0
huatuo_8196,D,1,1
huatuo_8234,A,1,1
huatuo_8294,C,1,1
huatuo_8335,C,0,0
huatuo_8337,A,1,1
huatuo_8397,D,1,1
huatuo_8421,A,1,1
huatuo_8489,B,1,1
huatuo_8505,A,1,1
huatuo_8651,A,1,1
huatuo_8749,B,1,1
huatuo_8759,A,1,1
huatuo_8785,C,0,1
huatuo_8795,B,0,0
huatuo_8837,A,1,1
huatuo_8920,B,0,0
huatuo_8978,A,1,1
huatuo_8993,B,1,1
huatuo_9008,E,0,0
huatuo_9015,A,1,1
huatuo_9105,A,1,1
huatuo_9112,C,1,1
huatuo_9142,B,1,1
huatuo_9153,C,1,1
huatuo_9245,C,1,1
huatuo_9268,D,1,1
medmcqa_1012,C,1,1
medmcqa_1076,B,1,1
medmcqa_1129,A,1,1
medmcqa_1173,B,1,1
medmcqa_1292,B,1,1
medmcqa_1314,D,1,1
medmcqa_1399,B,1,1
medmcqa_1510,A,0,0
medmcqa_1596,B,0,0
medmcqa_1613,B,1,1
medmcqa_1674,A,1,1
medmcqa_1811,B,1,1
medmcqa_182,D,1,1
medmcqa_1836,D,1,1
medmcqa_191,B,1,1
medmcqa_1912,B,1,1
medmcqa_1971,A,1,1
medmcqa_2000,B,1,1
medmcqa_2026,A,1,1
medmcqa_2068,B,1,1
medmcqa_2145,C,1,1
medmcqa_2164,D,0,0
medmcqa_2193,B,1,1
medmcqa_2392,D,1,1
medmcqa_2400,B,1,1
medmcqa_2445,A,1,1
medmcqa_2524,B,1,1
medmcqa_2569,A,1,1
medmcqa_2575,C,0,1
medmcqa_2597,C,0,0
medmcqa_263,B,1,1
medmcqa_2676,C,1,1
medmcqa_2711,B,0,0
medmcqa_2724,D,1,1
medmcqa_2815,B,1,1
medmcqa_2820,A,0,0
medmcqa_2913,A,1,1
medmcqa_2933,C,1,1
medmcqa_3078,D,1,1
medmcqa_3140,B,1,1
medmcqa_3142,A,1,1
medmcqa_3204,D,1,1
medmcqa_3271,C,1,1
medmcqa_3277,C,1,1
medmcqa_3353,A,1,1
medmcqa_3459,A,1,1
medmcqa_3550,A,1,1
medmcqa_409,D,0,0
medmcqa_415,A,1,1
medmcqa_6576,B,1,1
medmcqa_6726,A,1,1
medmcqa_6790,B,1,1
medmcqa_682,D,1,1
medmcqa_6916,A,0,0
medmcqa_6945,A,1,1
medmcqa_782,B,0,0
medmcqa_884,A,1,1
medmcqa_924,A,1,1
medmcqa_989,C,1,1
medqa_101,C,1,1
medqa_102,D,1,1
medqa_106,A,1,1
medqa_112,A,1,1
medqa_115,A,1,1
medqa_119,D,1,1
medqa_126,D,1,1
medqa_131,B,1,1
medqa_138,A,1,1
medqa_141,B,1,1
medqa_152,A,1,1
medqa_154,D,1,1
medqa_158,D,1,0
medqa_159,A,1,1
medqa_16,D,1,1
medqa_160,A,1,1
medqa_163,C,0,1
medqa_164,A,1,1
medqa_17,C,1,1
medqa_171,B,1,1
medqa_174,D,1,1
medqa_181,A,1,1
medqa_193,A,1,1
medqa_195,B,1,1
medqa_199,D,1,1
medqa_200,C,1,1
medqa_207,C,0,0
medqa_210,D,1,1
medqa_213,A,1,1
medqa_220,A,1,1
medqa_222,A,1,1
medqa_223,B,1,1
medqa_233,D,1,1
medqa_25,B,1,1
medqa_252,B,1,1
medqa_253,D,1,1
medqa_261,B,0,0
medqa_263,B,1,1
medqa_274,C,1,1
medqa_276,C,1,1
medqa_280,B,1,1
medqa_283,C,1,1
medqa_294,B,1,1
medqa_300,B,0,1
medqa_301,A,0,0
medqa_309,D,1,1
medqa_310,A,1,1
medqa_313,B,1,1
medqa_314,B,1,1
medqa_32,C,1,1
medqa_320,C,1,1
medqa_321,B,1,1
medqa_323,C,1,1
medqa_328,B,1,1
medqa_329,B,1,1
medqa_34,C,0,1
medqa_341,B,1,1
medqa_345,A,1,1
medqa_350,B,1,1
medqa_353,A,1,1
medqa_356,B,1,1
medqa_357,D,1,1
medqa_363,B,0,1
medqa_365,C,1,1
medqa_375,A,1,1
medqa_380,C,1,1
medqa_389,C,1,1
medqa_392,A,1,1
medqa_394,A,1,1
medqa_395,B,1,1
medqa_401,C,1,1
medqa_4040,A,1,1
medqa_4045,C,1,1
medqa_4046,D,0,0
medqa_4048,C,1,1
medqa_405,C,0,0
medqa_4051,B,0,0
medqa_4060,C,1,1
medqa_4071,B,0,0
medqa_4080,B,1,1
medqa_4082,C,0,0
medqa_4084,A,1,1
medqa_4089,B,1,1
medqa_4100,B,1,1
medqa_4103,C,1,1
medqa_4104,C,1,1
medqa_4107,B,1,1
medqa_4109,B,1,1
medqa_4112,A,1,1
medqa_4114,D,1,1
medqa_4115,D,1,1
medqa_4127,C,1,1
medqa_4128,A,1,1
medqa_4133,A,1,1
medqa_4134,C,1,1
medqa_4138,C,1,1
medqa_4141,B,1,1
medqa_4147,C,1,1
medqa_4157,C,0,0
medqa_4160,B,1,1
medqa_4163,D,1,1
medqa_4181,C,1,1
medqa_4189,C,1,1
medqa_4194,D,1,1
medqa_4198,D,1,1
medqa_4205,D,1,1
medqa_4210,D,0,0
medqa_4217,C,1,1
medqa_4219,A,1,1
medqa_4222,C,1,1
medqa_4235,D,1,1
medqa_424,C,1,1
medqa_4247,B,1,1
medqa_425,C,1,1
medqa_4250,B,1,1
medqa_4261,C,1,1
medqa_4262,C,1,1
medqa_4284,C,1,1
medqa_4287,D,0,1
medqa_4299,C,1,1
medqa_4314,C,1,1
medqa_4316,D,1,1
medqa_4319,B,1,1
medqa_4322,D,1,0
medqa_4324,B,1,1
medqa_4326,D,1,1
medqa_4329,C,1,1
medqa_4332,A,1,1
medqa_4333,D,1,1
medqa_4340,C,1,1
medqa_4348,C,1,1
medqa_436,D,1,1
medqa_4367,C,1,1
medqa_4372,C,1,1
medqa_4378,C,1,1
medqa_439,C,1,1
medqa_4394,C,1,1
medqa_4398,C,1,1
medqa_4399,B,1,1
medqa_4406,A,1,1
medqa_441,C,1,1
medqa_4412,B,1,1
medqa_4416,D,1,1
medqa_4418,D,0,0
medqa_4425,C,1,0
medqa_4434,B,1,1
medqa_4437,D,1,1
medqa_444,A,1,1
medqa_4440,D,1,1
medqa_4465,B,1,1
medqa_447,A,1,1
medqa_4470,B,1,1
medqa_4475,B,1,1
medqa_4485,C,1,1
medqa_4502,A,0,0
medqa_4514,C,1,1
medqa_4515,A,1,1
medqa_4523,A,1,1
medqa_4524,C,1,1
medqa_4532,D,1,1
medqa_4539,A,0,0
medqa_4544,A,1,1
medqa_4548,C,1,1
medqa_4552,C,0,0
medqa_4563,D,1,1
medqa_4567,D,1,1
medqa_4570,C,1,1
medqa_4572,D,1,1
medqa_4575,A,1,1
medqa_458,A,1,1
medqa_4580,A,0,0
medqa_4587,C,1,1
medqa_4588,B,1,1
medqa_459,A,0,0
medqa_4604,B,1,1
medqa_4610,A,0,0
medqa_4611,B,1,1
medqa_4614,D,1,1
medqa_4635,B,1,1
medqa_4641,C,1,1
medqa_4646,B,1,1
medqa_4655,D,1,1
medqa_4660,D,1,1
medqa_4664,D,1,1
medqa_4677,C,1,1
medqa_469,D,1,1
medqa_4690,B,1,1
medqa_4693,A,1,1
medqa_4695,A,1,1
medqa_4697,C,0,0
medqa_470,B,1,1
medqa_4700,D,1,1
medqa_4705,C,1,1
medqa_4721,D,1,1
medqa_4733,D,0,0
medqa_4735,D,1,1
medqa_4738,C,1,1
medqa_4752,B,1,1
medqa_4756,D,1,1
medqa_4757,B,1,1
medqa_476,A,1,1
medqa_4768,C,1,1
medqa_4773,A,0,0
medqa_478,D,1,1
medqa_479,D,1,1
medqa_4790,D,1,1
medqa_4792,C,1,1
medqa_4795,B,1,1
medqa_4798,C,1,1
medqa_4801,D,1,1
medqa_4804,B,1,1
medqa_4806,C,1,1
medqa_4807,A,0,0
medqa_4808,C,1,1
medqa_481,C,1,1
medqa_4812,D,1,1
medqa_4813,D,1,1
medqa_4814,B,0,0
medqa_4815,A,1,1
medqa_4827,C,1,1
medqa_4830,A,1,1
medqa_4831,D,1,1
medqa_4832,C,1,1
medqa_4833,D,1,1
medqa_484,B,1,1
medqa_4848,A,1,1
medqa_4849,A,1,1
medqa_485,B,1,1
medqa_4852,B,1,1
medqa_486,C,1,1
medqa_4861,A,0,0
medqa_4863,C,1,1
medqa_4869,C,1,1
medqa_4874,B,1,1
medqa_4875,B,1,1
medqa_4881,A,1,0
medqa_4908,A,1,1
medqa_4915,A,1,1
medqa_492,A,1,1
medqa_4927,B,1,1
medqa_4928,A,1,1
medqa_4937,B,1,1
medqa_4939,A,1,1
medqa_4940,D,1,1
medqa_4945,B,0,0
medqa_4949,C,1,1
medqa_4956,D,1,1
medqa_4957,D,1,1
medqa_4958,D,1,1
medqa_4962,B,1,1
medqa_4967,D,0,0
medqa_4973,A,1,1
medqa_4974,C,1,1
medqa_4976,D,1,1
medqa_4978,B,1,1
medqa_5,C,1,1
medqa_5006,C,1,1
medqa_5014,A,1,1
medqa_5020,A,1,1
medqa_5021,C,1,1
medqa_5029,B,1,1
medqa_5033,C,1,1
medqa_5037,B,1,1
medqa_5039,C,0,0
medqa_5040,A,1,1
medqa_5058,A,1,1
medqa_5061,C,1,1
medqa_5064,B,1,1
medqa_5068,D,0,0
medqa_5071,C,1,1
medqa_5079,D,1,1
medqa_5088,B,1,1
medqa_5091,C,1,1
medqa_5100,D,1,1
medqa_5119,C,1,1
medqa_5125,B,1,1
medqa_5129,C,1,1
medqa_5133,B,1,1
medqa_514,C,1,1
medqa_5142,B,1,1
medqa_5143,B,1,1
medqa_5146,D,0,0
medqa_5147,B,0,0
medqa_5159,D,1,1
medqa_516,B,1,1
medqa_5176,B,1,1
medqa_5193,D,0,0
medqa_5198,A,1,1
medqa_52,C,1,1
medqa_520,D,1,1
medqa_5210,A,1,1
medqa_5219,B,1,1
medqa_5220,A,1,1
medqa_5224,B,1,1
medqa_5227,D,1,1
medqa_5237,D,0,0
medqa_5238,B,1,1
medqa_524,A,1,1
medqa_5243,A,0,0
medqa_5246,C,1,1
medqa_5249,C,1,1
medqa_5251,B,1,1
medqa_5261,C,1,1
medqa_5263,B,1,1
medqa_5265,B,1,1
medqa_5268,D,0,1
medqa_527,B,1,1
medqa_5274,C,1,1
medqa_5275,B,1,1
medqa_5277,A,1,1
medqa_5279,C,1,1
medqa_5288,A,1,1
medqa_5289,D,1,1
medqa_5296,C,1,1
medqa_5307,A,1,1
medqa_5346,A,0,0
medqa_5351,C,1,1
medqa_5352,C,1,1
medqa_5356,C,1,1
medqa_5369,D,1,1
medqa_5389,B,1,1
medqa_5391,B,1,1
medqa_54,D,1,1
medqa_5401,B,1,1
medqa_5402,D,1,1
medqa_5423,B,1,1
medqa_5443,A,1,1
medqa_5446,A,0,0
medqa_5447,C,1,1
medqa_5461,C,1,1
medqa_5467,B,1,1
medqa_5468,A,1,1
medqa_547,C,1,1
medqa_5479,D,1,1
medqa_5483,C,1,1
medqa_5485,D,1,1
medqa_5486,A,1,1
medqa_5493,A,0,1
medqa_5508,B,1,1
medqa_5514,C,1,1
medqa_552,B,0,0
medqa_5524,D,1,1
medqa_5525,C,0,0
medqa_5535,B,0,0
medqa_554,C,1,1
medqa_5542,D,0,0
medqa_5556,B,1,1
medqa_5570,A,1,1
